text,negative_reason
@usairways 3rd time cut off after 10+ minutes on hold with Chairmans desk?!??? Wth how are we supposed to rebook Cancelled Flightled flights?!?!?,Value For Money
@USAirways I am a premium #DividendMiles #cardholder. Unacceptable 4 you to #hangup my #customerservice call twice after putting me on hold.,Ground Service
"@americanair hi, you Cancelled Flightled our flight back to the US and now won't take our call. What are we supposed to do?",Value For Money
@USAirways. R U aware your wait time to talk to a sales agent is always 30-60 minutes? Unacceptable. At least employ a call back feature!,Ground Service
@SouthwestAir understand you can only do so much but often it seems like a quick request to the desk is all it takes no questions asked.,Ground Service
@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on,Ground Service
@JetBlue they are rude and unhelpful. They suggested I catch a flight tomorrow I was supposed to be home today at 2 am and work is waiting,Ground Service
"@USAirways - you kind of screwed my day up, at least it was outbound, but you did save it by stranding me in a @RenHotels @MarriottRewards",Value For Money
@united wifi wasn't working onboard.Alerted attendant re socket.You sent me to a hotel for 24 hours with 7$ Vouchers??no wifi at hotel,Inflight Entertainment
@JetBlue but by Cancelled Flighting my flight and pushing me to the next day I'd lose $150 hotel which was why I was trying to get a same-day flight.,Value For Money
"@JetBlue Woo! Update! Flight 915 is now possibly delayed by more than 2hrs!  Power of positive thinking, people.",Value For Money
"@SouthwestAir change your hold music, going on hour 3 and i'm about to loose it",Ground Service
"@AmericanAir when will there be wifi on the DCA-STL route?  2 hour flight, could use some love!",Inflight Entertainment
"@SouthwestAir used to love you, but you keep rescheduling my flights.  #southworst",Value For Money
@united DM sent.  This lack if customer service is getting ridiculous.,Ground Service
@AmericanAir @British_Airways trying to speak with an agent about my flight to London tonight but can't get anyone from AA.  Can you help?,Ground Service
@JetBlue note the time this was taken (now at 906 am) and flight still listed as on time for 910 when I'm not onboard http://t.co/zvfmxnuELJ,Ground Service
@SouthwestAir Late Flightly you've always been Late Flight! Please get back to the old #SWA!!,Value For Money
@united They inquire and then do nothing about it...pretend they’re interested. Responded to your DM and no response back...,Ground Service
"@AmericanAir Hey, what's happening with #AA65 Zurich - JFK? Appears to have squawked 7700 and landed at London Heathrow",Value For Money
"@SouthwestAir thanks, but they told him he couldn’t a few hours ago, then my plane left  after I tried to do it. Stuck waiting for hours now",Ground Service
"@JetBlue If that was the case, why did your alert arrive so Late Flight? Four-hour delay? Don't buy it.",Value For Money
"@AmericanAir Stuck on a plane at JFK: food was not on the plane now we need to wait crew to push back the plane. Good job, AA!",Food & Beverages
"@united My flight UA1159 to Denver for #RMOUG15 has been re-cheduled 5 times.
If I am no show, you'll know why! Ridiculous.",Value For Money
@USAirways understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.,Value For Money
@AmericanAir I have not. There's no option for even getting a call back!,Ground Service
@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline,Value For Money
"@AmericanAir I really want to get home. Tonight, preferably. Please stop delaying my plane 😢😕😦 #AmericanAirlines",Value For Money
@AmericanAir Oh yea? That's it? C'mon buddy! Bring your special friend @united to the conversation - they seem to be doing NOTHING AT ALL,Ground Service
@AmericanAir Reservation Line won't let me speak to a representative because they are too busy. They literally disconnect you. Why bother?,Ground Service
@united yes at 2am...but now back on a plane again and delayed again due to baggage loading issue... http://t.co/NfAQHhr09j,Value For Money
"@USAirways I did, but i need to get a human being. What's the fastest way to achieve this? All I get is a computer.",Ground Service
@USAirways 4914 from PHL to BGM. I cannot believe this has happened 2x in under two weeks!,Value For Money
@JetBlue what's up with the random delay on flight 1729? Any chance of it being a false alarm?,Value For Money
@SouthwestAir been dealing with multiple offices for the last 3 days. Youve completely lost me as a customer unless my bag is back to me.,Ground Service
@united that may be true however after 4 weeks matter is still unresolved and I can not get through to a supervisor or manager to help,Ground Service
@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet.,Ground Service
"Here’s what I am missing since #Covid_19 
1- miss my family
2- seing my friends 
3-hugging everyone above
4- hosting dinners 
5- miss nice restaurants &amp; good food 
6- airport shopping 
7- @lufthansa @airfrance @qatarairways @British_Airways every captain &amp; Crew member. ",Food & Beverages
"@JetBlue not ok to Cancelled Flight flight 1274 tmrw for ""weather"" &amp; to rebook 4 flight the next day when there is flight tmrw night. no compensation?",Value For Money
@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home,Value For Money
@SouthwestAir what's yall corporate number bc yall are not trying to accommodate me at all!!!,Ground Service
@SouthwestAir I need to request a refund on my flight that was Cancelled Flightled this morning due to the weather.,Value For Money
@SouthwestAir did anyone come into work today? u should have all the pilots and flight attendants answer phones if no one is flying,Ground Service
@united rep wouldn't rebook. This is such a waste of time and poor communication,Ground Service
@united have better customer service at John Wayne airport.,Ground Service
@USAirways now the freezing bus is just doing circles?,Value For Money
@USAirways today's flight to Philadelphia.  It's a little disappointing for the unnecessary delays and it's not even snowing in FL.,Value For Money
@united you Cancelled Flighted our flights for no reason &amp; now we have been on the phone for AN HOUR on our vacation. Why?,Value For Money
"@united In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away.",Cabin Staff Service
@united I wrote to you but got nothing.and I am out of US .It is very simple thing.Will ypu provide compensation for your delay?,Value For Money
@united customer service sucks!  They hang up after waiting an hour and talking for 5 minutes.,Ground Service
@AmericanAir our flight AA 1338 is delayed out of Providenciales and will be missing our connection AA 1651 in Miami to SEA. Who do we call?,Value For Money
@JetBlue flight for tomorrow morning Cancelled Flighted &amp; can't seem to rebook me. They can't even get me a seat. No clear answer on why Cancelled Flighted.,Value For Money
"@United of urgency, but this is ridiculous. Your ceo claims to be customer focused, yet when delays happen, planes sit and customers are",Value For Money
@united as a freq flyer it makes me sad to see cust needing assistance treated so poorly. #ServiceFail,Ground Service
@united flight 4567 agent now wandered off. Pilots came out looking for her. Went to charge her personal phone which she'd been txting on,Cabin Staff Service
@USAirways lost bags. Cant reach human. delivery driver says he won't give us carseat until we return loaner. We hv NO loanr.5084773604 HELP,Ground Service
@USAirways our hold up now is the captain that was Late Flight...his bag doesn't fit.,Value For Money
"#COVID19Pandemic Global Updates
(As of 12PM NST, 5 Jun)

- AirAsia Group set to ↓ its workforce by up to 30%
- Philippines' jobless rate ↑ to record 17.7% (17.3m people) in Apr
- Malaysia's exports ↓ 23.8% in April, y/y
- World food price index hits 17-month low in May ",Food & Beverages
@USAirways hello??? Anyone there?,Ground Service
"@united hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports",Value For Money
@USAirways @AmericanAir how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them,Ground Service
"@United Wonder why people hate dealing with airlines?  Ridiculous and inflexible ""policies"".  I need a phone number and a resolution.  Now.",Ground Service
@JetBlue Alternatives?  You have absolutely no respect for loyal customers.  8 years.  No more.  I'm done.,Ground Service
@USAirways I have been I hold for 40 min. My 5:50 flight just got Cancelled Flightled and rescheduled for Monday. This is unacceptable!,Value For Money
@united never fails to have delayed flights 😡,Value For Money
@americanair why am I not being given a callback option??! Why has this service been turned off?,Ground Service
@USAirways I'm sick of living in an airport!! #getittogether,Value For Money
@USAirways hey guys!  Thanks for answering me and thanks for keeping me on hold for an hour on customer service at 12 pm PST!,Ground Service
@USAirways never flying you guys again. your customer service is awful,Ground Service
@SouthwestAir want to explain why I was on hold for 2+ hrs tonight trying to reach customer service only to learn they're only there Mon-Fr?,Ground Service
@SouthwestAir what to do when you show up to your destination with no clothes in your suitcase? #nakedmeetings #awkward,Ground Service
@united sure but the plane is an hour Late Flight! Your ontime departure ship sailed away a long time back!,Value For Money
@AmericanAir you have said the same thing to me over and over again but phrased differently. How about some actual help?,Ground Service
"@united Thank you. Mention that before I boarded she asked 1other person to measure their bag, and it was another woman. Men not asked.",Cabin Staff Service
@united flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491,Value For Money
@united Maybe be hiring your own ground staff at LAX when multiple gate agents tell you your baggage is loaded you expect it to be. HOPELESS,Ground Service
@AmericanAir @Delta @JetBlue I am going to be stuck in Florida for 3 days because @SpiritAirlines wouldn't hold my connecting flight to LGA,Value For Money
@AmericanAir I'm home &amp; only 9hr Late Flight.  No thanks to your service centre - their plan involved 4 flight legs all across NA and 2 full days..,Ground Service
"@USAirways can you please DM me, my flight has been delayed going into CLT which will force me to miss my connection to LGA at 10:05pm",Value For Money
@USAirways flt 5302 CLT to DAY supposed to depart 5:51; the 6:20...still no crew. #schedule/contact the pilot!,Value For Money
.@SouthwestAir received an error online and have been on hold for over 1.5 hours. Completely unacceptable.,Ground Service
@jetblue Vegas desk said JFK connect would b held 4 us and 26 others on our plane now staff at JFK says weather was problem. #epicfail,Value For Money
@AmericanAir man we have been sitting in #UA4753 on the tarmac for 30 mins...rescue us please!,Value For Money
@united I usually like flying with you guys but $200 fee to use my credit seems ridiculous #notcool #exhorbitantfees,Ground Service
"@AmericanAir To announce DURING BOARDING that you chose to limit catering to the point that you WILL run out shows a lack of planning, IMO.",Cabin Staff Service
@united that's not good enough for all of us affected by the awful organization and timing and have now been set back,Value For Money
@SouthwestAir thanks for losing my luggage,Ground Service
@AmericanAir been on hold for for over two hours. After waiting 2 hours earlier. Can't get any info on my reservation. How is that ok?,Ground Service
@SouthwestAir stuck in NYC flights Cancelled Flightled 2 days in a row Long wait times on phones. Running out of $ but SWA no help,Value For Money
@AmericanAir @usairways who is the next stop after customer service.,Ground Service
@united you are lightyears ahead of the security control at Newark airport. They wasted 40 precious mins w bad efficiency. #frightening,Value For Money
"@USAirways thanks to you, you have now incurred us approximately 2000 dollars in fees due to a staff members screw up.  #neveragain",Cabin Staff Service
"@USAirways  you were always my go to. What happened?  Airbus over Boeing, and now no customer service?",Ground Service
"@USAirways yeah, the mark was like a mile back. Also we're an hour Late Flight. So thanks a ton for the great service today.",Value For Money
@united why I won't check my carry on. Watched a handler throw this bag -- miss the conveyer belt -- sat there 10 min http://t.co/lyoocx5mSH,Ground Service
@JetBlue #poorservice #poorcommunication #waitingsince 10:51 for bags frm flight 424!!! #jetblue,Ground Service
@united So you are inadequate by accident?,Ground Service
@SouthwestAir would really like my baggage from yesterday. Employees at Akron giving me a tough time.,Ground Service
@USAirways great job communicating to the passengers! Flight 1855 doesn't exist anymore? http://t.co/hLZaHXkdSn,Ground Service
"@USAirways My wife, sick 3yr-old-twins, and I have been waiting in line now for 2hrs to see an agent! Phone agent said nothing til Tuesday!",Ground Service
@united  I understand that but why should I pay to change if it was a problem with your plane. If it was weather I would understand,Value For Money
@AmericanAir I have never on all my trips on any airline ever nat'l or int'l ever experienced anything like this!,Ground Service
@united ...just called and lady at your overseas call center said she saw no note. I explained the situation...again...,Ground Service
"@united well. As of yet, our checked bag has already vanished and we haven't left the airport yet.",Ground Service
@USAirways 1729 connecting in charlotte to houston. Mechanical issue determined while q'd to take off. And we checked our bags.,Value For Money
@AmericanAir Flight Cancelled Flighted and rebooked but agent made a mistake and booked wrong date! Been trying to get through via phone for hours!!,Ground Service
@USAirways they had to turn the seat cushions over and clean the area. Please explain this issue?,Cabin Staff Service
@USAirways Pilot pleads to let boarding begin for full flight #1937 while waiting for 4th flight attendant. Denied by mission control. Grrrr,Value For Money
"@SouthwestAir pls help me get this resolved &amp; reimbursement made.  gracias, rico; pls send me private msg with phone number or email address",Ground Service
"@AmericanAir why did flight 1636 get Cancelled Flightled? Waiting for a rep to rebook, but wondering if there will be other issues getting out.",Value For Money
"@AmericanAir - Envoy Airlines is a disgrace to the AA family.  Nothing but delays and Cancelled Flightlations, week after week.",Value For Money
@united where's my damn bag??,Ground Service
@JetBlue Why not deal with that while the plane's on the ground instead of diverting the plane &amp; adding 2 hrs to the flight?,Value For Money
@AmericanAir what's the point? So I can wait for another 6 weeks. U r one of the only airlines that refuses to handle complaints by phone,Ground Service
@USAirways 59 minutes now. Nice customer service you got going on.,Ground Service
@united Making sure your flights aren't delayed due to poor maintenance would be a start.,Value For Money
@USAirways The fact we did not get notified hindered our ability to look for alternate flights before they were snapped up.,Ground Service
@SouthwestAir No thanks. After those 25+ minutes someone did eventually help us and took care of it.,Ground Service
"@AmericanAir 
It's not what happens to us that matters...It's our response that matters. Way to drop the ball AA.",Ground Service
@USAirways what's happening with 1217 Phl to LAX? Now 3 hr delay. Poor communication!,Value For Money
@JetBlue @DatingRev mco to lag two hour delay and sitting in Tarmac going on 40 minutes with infants crying on plane!! Get us off this plane,Value For Money
@SouthwestAir almost at the gate for 1156 to SF. Please wait 60 more seconds.,Value For Money
@JetBlue People kept saying it was due to weather but there were flights going directly to boston even after our flight.,Value For Money
@USAirways @AmericanAir hey since you    f*%#ed my wknd can I have day pass to admirals club or meal coupon or free coke? {blank stare},Food & Beverages
"@SouthwestAir - neveryamind I paid $450 for a flight. 250 for a new bag is easy for business class customers, right? http://t.co/vn3JJIa53O",Ground Service
@united Just saying the truth. You don't even an email! #2015,Ground Service
@united so who does handle bag issues? And why wouldn't you put me onto them in the first place?,Ground Service
@AmericanAir What's the status at DFW? Ticket agent at gate A9 was very rude and unhelpful.,Cabin Staff Service
@JetBlue flight 691 from bos to Tampa takeoff 40 min Late Flight,Value For Money
@united i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet,Cabin Staff Service
@united we have tried to change our flight THREE times on the phone and got disconnected each time.,Ground Service
"@AmericanAir I'll be sticking with @southwest in the future. No change fees, first bag free, and stellar customer service.",Ground Service
@USAirways UR employee named VAN @ ticket counter in #Philadelphia. EXTREMELY RUDE! a Father trying to get home to sick kid missed flight.,Cabin Staff Service
"But expect no help from -&gt;@SouthwestAir &lt;-.  Our flt was canx at the last minute for ""weather.""  We flew home on weatherless @united.",Value For Money
@JetBlue can you give me an update on flight 1684 MCO-&gt;JFK? They're saying mechanical issues but will not disclose what they are...,Value For Money
@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,Value For Money
@USAirways FINALLY leaving 4 home from NC. Will lodge respectful complaints!! Mechanical issue after cleared for runway? #5hourwait #nocrew,Value For Money
@united y not? You're the reason we're in Houston and not NYC tonight. It took the plane an hour to take off - no explanations or sorry.,Value For Money
@AmericanAir Now you've Cancelled Flightled my flight. First a priority ticket bumped and now this. You're losing customers. People are furious.,Value For Money
@United You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.,Cabin Staff Service
@AmericanAir DFW GATE 16 to BMI agent seriously is beyond incompetent.  Never flying AA again if can be avoided #fail #pathetic,Ground Service
@usairways Thx for responding :) When bags came there was mad rush towards end of jetway—why not just put thru baggage claim?,Ground Service
@AmericanAir re-staff and commence new policies because your industry is so embarrassed by you.,Ground Service
@AmericanAir @Rizzilient I booked tickets using miles and need to change the dates.  Have been trying to get to an advantage rep 4 two days,Ground Service
"@AmericanAir but really, can you DM me on here to verify if you've booked a hotel for our extra night here? Kinda unsettling to get a call",Ground Service
"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Value For Money
@USAirways @united really know how to leave someone stranded after a funeral. Props to you guys. Really making this the perfect Monday.,Value For Money
"@SouthwestAir should get their shit together before they owe my $2,000 for my bag.",Ground Service
@AmericanAir served me rubber pasta covered In sauce that tastes like plastic. Do you have any food for human consumption anymore ?,Food & Beverages
@united my cats flight was delayed 1+hour  she will be arriving to Hawaii after 5 &amp; I won't be able to pick her up until tomorrow 😭,Value For Money
"@USAirways found the tix#, security code not working. Tried a dozen times.",Ground Service
@united it wasn't a delay so much as a straight Cancelled Flightlation. Weather wasn't an issue either.,Value For Money
@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.,Ground Service
@USAirways still in yuma waiting for 2702 to go. Looks like I might miss 2696 to MontereyRegionalAirport need options please,Value For Money
@USAirways customer service fail... Todays experience will ensure I do my best NEVER to utilize you again...,Ground Service
"@USAirways thanks for nothing. Bought two tix through you to Disney and my friend can't go and now I have to eat the 400, plus 600 for new 1",Ground Service
@united what is going on with baggage claim in Newark!#tiredandwanttogohome,Ground Service
@USAirways @AmericanAir - Burned a lot of time and cell minutes working through this flight issue - hopefully we fly home in the morning.,Ground Service
@USAirways why the hell will you not put us in a hotel when you've stranded us. Your message says mechanical issues not weather. #usairways,Value For Money
@USAirways yes .not sure how you guys don't know gate is occupied and keep us waiting,Value For Money
@southwestair Your staff was really kind about the flight delay. Luggage? Not at all. Very disappointing.,Cabin Staff Service
@USAirways $75 for that uncertainty? I know u run an account; u don't create policy. But it's an undue penalty for a job req'ing flexibility,Ground Service
@SouthwestAir On hold for two hours and it timed-out on me. Great system you got there.,Ground Service
@united officially has the most inefficient boarding procedure. There is no reason it should take 45 mins to board a plane!,Cabin Staff Service
@united Made@it to the gate at 8:23 and they wouldn't let us on. http://t.co/xAToxBnsFa,Value For Money
@AmericanAir yet there are plenty of available AA agents at gates nearby who say they are unable to help customers from our flight.,Cabin Staff Service
@JetBlue but the 4 hour policy- when I called and they said I didn't report it soon enough. What would have changed if I had noticed sooner?,Ground Service
"@united Nice ""partners"" you have. The delays keep increasing every 20 min @FtLauderdaleSun @orlandosentinel http://t.co/1AtEafnC6R",Value For Money
@USAirways why didn't you reroute BOS to JAX via DCA through CLT instead forcing an overnight @DCA #passengersLose,Value For Money
@united terminal at MIA should have food open before 5am esp when there are flights at 6am. Two hours early like recommended. Can't eat.,Food & Beverages
@united this is besides the fact that one week ago you delayed me by 18 hours. i am not impressed at all.,Value For Money
@USAirways @AmericanAir our honeymoon was delayed a day because a gas cap was not screwed on! Flight 1801- so frustrating!,Value For Money
@USAirways how are you guys losing luggage when it was suppose to be on the same flight I was on. Highly disappointed no meds no clothes :(,Ground Service
"@united sorry, I hate united. i won't get to see my family until Thursday",Value For Money
@AmericanAir you called back just to put me on hold. It's midnight. Literally just want to know how I'm getting home and I'm getting no help,Ground Service
"@USAirways that link is broken. But if it's the online baggage locator, I already tried it and it gave me no useful information.",Ground Service
"@united How come you are the ONLY airline, of 90+ flights last year that makes me check my carry-on. Not even gate check...baggage claim?!?",Ground Service
@JetBlue your airline should have a better system to Inform your clients when their flights are Cancelled Flightled last min. 😒👺 we have schedules too,Value For Money
"@SouthwestAir you were my go to airline now not so much!! You say you care but I now see not so much! Right now, you suck!!",Ground Service
@AmericanAir How is it possible that your call system can refuse callers for over twelve hours? What service options does that leave?,Ground Service
@SouthwestAir I had to switch airlines and eat the difference (which was not insubstantial) and Cancelled Flight all plans for sat &amp; sun :(,Value For Money
@USAirways not best pleased with service so far. On our third gate and still no guarantee that it's the correct one :(,Ground Service
@JetBlue already spent $300 to stay at hotel last night due to you guys rescheduling my flight. Since my Cancelled Flightation I've spent almost $500,Value For Money
@SouthwestAir been on hold over an hr to rebook a Cancelled Flighted flight. Do you have anyone working???,Ground Service
@united if our already rescheduled flight is Cancelled Flightled is our hotel room paid for?,Value For Money
@united also didn't ice the frozen metal walkway. Wasted 40 minutes because no one knew how to do simple jobs.,Cabin Staff Service
"@AmericanAir -- This is after you Cancelled Flightled our flight into Buffalo because of ""weather"" and lied to us and said other airlines Cancelled Flightled",Value For Money
@USAirways flight 2120. Please get us a flight plan already. How is this an issue in 21st century?,Value For Money
@USAirways if you get my bag from E Gate to B Gate at the Charlotte airport before my 6 pm flight (Late Flight cause of yall) I’ll ride US for life,Value For Money
"@usairways RT @Dmoukdarath: Nice, another delay with @usair second one this trip. Left engine leaking...what's next?? #USAIR #nothappy",Value For Money
"@united right as we think we will take off, we stop to get de-iced. Why wasn't this done when the planes were sitting out all night?",Value For Money
"@USAirways &gt;250k miles on usair.  Last four flights not good. Other airlines much improved. Billing issues, seats, legroom, in air service.",Legroom
@AmericanAir that's if it is ever complete and if i can ever get through customer service #theydontanswer,Ground Service
@AmericanAir robocalls me with another Cancelled Flightation. And then when I don’t accept the change it won’t let me connect to an agent. Just wow.,Ground Service
@JetBlue what's the hold up with flight 1553? boarding should've taken place 30 minutes ago.,Value For Money
@SouthwestAir very disappointed in your handling of tonight's Cancelled Flighted Dallas flight.  Not that it was Cancelled Flighted but no contingencies.,Value For Money
@AmericanAir I've been tryin to use my voucher to book a flight the last 2days. Lines are busy. Plse help me?The flight may go up.,Ground Service
@JetBlue the big board says we aren't leaving until after 8:30 😩,Value For Money
@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(,Ground Service
@AmericanAir is there not an email address I can send my issue to? you guys screwed up and rebooked my flight to the wrong day!  please help,Ground Service
@united #CustomerService #fail long time flyer switching airlines #frustrated,Ground Service
"@JetBlue we're home, you guys recovered, now we can laugh about it and the extra day in barbados. Will you open Cuba soon?",Value For Money
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Value For Money
@USAirways We've been on hold for over 7 hours after my wife's flight was Cancelled Flighted.,Value For Money
"@USAirways you got me home 30 hours after you were supposed to... I was living in an airport, you offered no monetary assistance!",Value For Money
"@USAirways unable to locate baggage, this is frustrating. All my sons clothes and needs in it. #zfv #yyz #usairways #baggagelost",Ground Service
"@USAirways was on hold for four hours, never got connected. Came to the airport and your rep essentially told me and everyone else to screw",Ground Service
@USAirways DCA to RSW at 8:30am Cancelled Flightled.  Rebook to Charlotte Cancelled Flightled.  Can we rebook selves online???,Value For Money
@JetBlue still sitting in plane in Newburg. This is getting #ridiculous. No way to treat #loyal customers.,Value For Money
@united your agents forced me to check a carry on bag. When I received my bag I found your crew had stolen from me. U lost my business!,Cabin Staff Service
@AmericanAir how about you give us a number to call instead of the empty email since you are not working on it,Ground Service
"@united it's not getting any better. I'd suggest you get a senior manager to this gate , then retrain these gate people",Cabin Staff Service
@AmericanAir received an email requesting I call about a res. but I keep getting kicked off of your phone system. Help?,Ground Service
@SouthwestAir @ LAX is almost a mess. For some reason the express bag drop is slower than the full service line. http://t.co/ORY89eEGek,Ground Service
@AmericanAir been calling all morning. Still can't get through. I need to chge a flight that is this week!!!!!,Ground Service
"@SouthwestAir flight Cancelled Flightled, stuck for 3 days. Paid for ""A"" boarding. Refused to honor it with rescheduled flight",Value For Money
@SouthwestAir sure did. Also read on there that Southwest doesn't believe it is liable for the incident. How is it my fault that SW lost it?,Ground Service
@united Flight UA1270 is descending into farce and we haven't left EWR yet. Is this going to get any worse?,Value For Money
"@JetBlue no, we are at a hotel.  Also, Jetblue lost my daughters luggage.  How do you lose luggage if the plane never actually left!!!",Ground Service
@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,Ground Service
@SouthwestAir was wondering is there a reason why customer service is so busy? Been on hold past few days for many hours No answer Help plz,Ground Service
"@USAirways I already did. My question is, why does it still say in progress on @AskPayPal? It's been 6 days.",Ground Service
@united missing this wedding because of these delays would not be cool,Value For Money
@united @PGATOUR @NTrustOpen I read that last hashtag as Go F United. Makes sense since they F us by Cancelled Flightling ticketed reservations,Value For Money
"@usairways My flight was Cancelled Flighted Saturday. Why was my luggage not at the airport? Today, I'm supposed to have it delivered. Pathetic",Ground Service
@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,Ground Service
@USAirways your staff at LAX really messed up on this one. Failing to scan my suitcase tag.,Ground Service
@USAirways would be more pleased if you reassess your business practices.  Goal should be to have passengers on plane as little as possible,Cabin Staff Service
@united one hour after departure time and still no update!,Value For Money
"@USAirways And by the way, I'm planning it while I've Ben waiting in the line at customer service in PHX...for over an hour!",Ground Service
@USAirways why let passengers on board when there was an issue? Over an hour &amp; the pilot doesn't know when we'll leave.,Value For Money
@USAirways I gave up http://t.co/2eDgc6TbLs,Ground Service
@AmericanAir my mom’s flight tomorrow Cancelled Flighted w/ no notice. Phone system said callback in 2 hours and it’s been 4. I need to go to bed!,Value For Money
@SouthwestAir WIFI is so slow it totally precludes working on the web. Will NOT book SWA for business travel. Wish I hadn't lit $24 on fire,Inflight Entertainment
@USAirways I've been sitting in the Charlotte airport for 4 hours. Waited for crew and now maintenance.  #NeverAgain,Value For Money
@USAirways UR service is so shitty. Pilot never showed up so we waited hours because another pilot was supposed to come but didn't #Cancelled Flighted,Value For Money
"The Julia's podcast last year could be my crowning moment.

Like for the sake of the podcast, I might have to dart out the first week of August for a few nights.

We'll see.

There's always a chance of me flying Ryanair, and drinking sub-standard Merlot.

Watch this space. ",Food & Beverages
"@AmericanAir plane breaks, unloads the passengers, told to re enter to only come back off. Flight Cancelled Flightled, missed wedding. #badbusiness",Value For Money
@USAirways actually it landed in BWI 30 minutes ago. She is stranded but I have friends to help. You FAILED big time on this one.,Value For Money
@united  treats service members like crap never flying again with them #UnitedAirlines  @CNN,Cabin Staff Service
@AmericanAir flight from JFK to EGE was cxld after on runway for an hour. Flight moved to 7am but they won't give luggage back. Nice.,Ground Service
@AmericanAir @emrey35 But it says your agents are too busy and to try back Late Flightr???,Ground Service
@AmericanAir has no idea what they're doing. Delay 1 flight from 5pm to 7:40pm then delay another TO THE SAME DESTINATION  @ THE SAME TIME.,Value For Money
"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?",Value For Money
@USAirways I wish we were on our way. Now there's a problem w/de-icing.Three &amp; 1/2 hour delay so far &amp; sill not sure if we'll be taking off.,Value For Money
@SouthwestAir Had a bad experience with them last week.  They broke my bicycle that I had brought with me to do a bike ride in Fla.  Why?,Ground Service
@united Boston is all self service. Swipe yr own boarding pass at gate. Most difficult: Tag your own bag. Not easy! #ImproveTheProcess,Ground Service
@USAirways @British_Airways three hour flight delay. On the phone for 45min and counting.,Value For Money
"@usairways I just want to get home before Wednesday... Joke is over, 50hrs of Cancelled Flightlations and delays is enough!",Value For Money
@JetBlue walked from the gate to the just ask desk by gate 1 http://t.co/p6ucbVlv5E,Cabin Staff Service
@united they let us board again but will we fly this time? Who knows! #shouldhaveflowndelta,Value For Money
@USAirways Youre batting .1000. Every flight Ive taken is delayed. Worst airline. ever.,Value For Money
@AmericanAir @USAirways - I'm pregnant with twins and you're going to abandon me overnight in an airport? No hotel? When it's your fault?,Ground Service
@USAirways over 4 weeks since you took our money and left us stranded 9 hours from home. Had to rent a car and you still have not helped us,Ground Service
@AmericanAir so the one time we upgrade to first class our luggage was open and now missing valuable items that can't be replaced. #upset,Ground Service
@SouthwestAir Yes I can. But you guys should get your act together.,Ground Service
@united 50 min on hold trying to book award flight because site errors out.  Agents ask for my pin to see platinum availability??? badbadbad,Ground Service
@AmericanAir We've 15 official complaints signed by #AmericanAirlines Lima supervisor. Customer Relations pls compensate 4 the 10-hour delay,Value For Money
"@SouthwestAir can't speak with customer service for 2hours, still on hold! Do you guys work?#nogood",Ground Service
@AmericanAir been on the phone for 47 minutes...said it would be 10...  Any advice?,Ground Service
@united yea they been booked on 10 next avalible flights since sat 7am. And when time comes no plane 2nd day of work missed #hotelliving,Value For Money
@united UNBELIEVABLY DISAPPOINTED. DELAY AFTER DELAY. STOP MESSING WITH MY LIFE.,Value For Money
"@USAirways I want my money back. Now we're sitting on the runway. After a 2 hour delay, waiting for the baggage to begin loading.",Value For Money
"@USAirways absolutely worst experience of my life at PHL. 6 hrs, 1 failed departure, 3 gates, and ZERO communication or help!!",Value For Money
@USAirways so am I supposed to discuss this matter with a computer? #BadCustomerService #Airlines #DividendRewards,Ground Service
"@united It's taken ~3 weeks for Cust Care to respond to Case #8477733, requesting a refund for wi-fi not working. Where can I get an update?",Ground Service
@JetBlue if my flight was delayed can I show up at the airport with the appropriate amount of time for the delay or do I have to go on time?,Value For Money
"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did.",Ground Service
@USAirways they finally answered. They were rude and didn't help me at all.,Ground Service
